username,location,joined,nrContributions,nrReviews,nrUpvotes,nrFollowers,followers,nrFollowing,following
Pedro-Pete85,,Joined in Sep 2009,184,33,56,1,[],1,['michaelgrr']
Kommandousen,"Copenhagen, Denmark",Joined in Aug 2009,223,136,106,0,[],0,[]
barbie1306,"London, United Kingdom",Joined in Jan 2016,2,2,1,0,[],0,[]
242fredrikg,"Alesund, Norway",Joined in Dec 2015,22,18,5,0,[],0,[]
204alejanxra,,Joined in Jul 2017,4,4,1,0,[],0,[]
ClausBJensen,,Joined in Dec 2012,9,9,4,0,[],0,[]
RealBusinessReview,"Bergamo, Italy",Joined in May 2012,271,268,335,0,[],0,[]
Mikkel120273,"London, United Kingdom",Joined in Oct 2012,3,3,2,0,[],0,[]
MortenKI,"Frederiksberg, Denmark",Joined in Feb 2017,51,20,6,1,[],0,[]
Rikke_0509,"Copenhagen, Denmark",Joined in Apr 2012,23,21,11,0,[],0,[]
Travelnikk,"Canberra, Australia",Joined in Apr 2010,477,392,95,2,[],0,[]
ulrikerdland,,Joined in Aug 2018,54,26,3,0,[],0,[]
StianAlsaker,"Drammen, Norway",Joined in Jun 2016,7,7,1,0,[],0,[]
SetsuTheYena,"Odense, Denmark",Joined in Jul 2019,11,11,0,0,[],0,[]
Tulde444,,Joined in Apr 2015,17,12,2,0,[],0,[]
HywelTheOwl,"Twickenham, United Kingdom",Joined in Jan 2015,84,82,27,0,[],0,[]
Marta96743,,Joined in Mar 2019,4,3,3,0,[],0,[]
967maina,Norway,Joined in Oct 2016,14,10,2,0,[],0,[]
Wander26172035399,"Frederiksberg, Denmark",Joined in Jul 2005,233,10,7,0,[],0,[]
mich-lin18,"Stockholm, Sweden",Joined in May 2018,37,15,2,0,[],0,[]
amocswe,Sweden,Joined in Jan 2010,69,69,14,0,[],0,[]
Szywendra,,Joined in Jul 2017,2,2,0,0,[],0,[]
PdxDane,"Hollviken, Sweden",Joined in Apr 2015,94,48,13,0,[],0,[]
pwbbost,"Rotterdam, The Netherlands",Joined in Dec 2014,553,107,56,0,[],6,"['582linnean', 'AlessandraB3224', 'Borgje1969', 'sonjasunshine88', 'daphnah2014']"
kostaevi,"Athens, Greece",Joined in Feb 2008,157,156,100,0,[],0,[]
sojouner2,"Phoenix, Arizona",Joined in Aug 2009,375,375,177,0,[],0,[]
lokshen,"New Delhi, India",Joined in Jul 2006,153,128,75,0,[],0,[]
roger-zh,"Zurich, Switzerland",Joined in Jan 2009,119,107,33,0,[],0,[]
Prettyjen,"London, United Kingdom",Joined in Jul 2008,114,74,69,0,[],0,[]
MathiasA_12,"Oslo, Norway",Joined in Jan 2012,48,45,17,0,[],0,[]
appalakki,"Ho Chi Minh City, Vietnam",Joined in Aug 2008,3,3,5,1,['stiinary'],0,[]
tobiasfd,,Joined in Apr 2016,1,1,0,0,[],0,[]
thomasjS4912QC,,Joined in Nov 2017,3,3,2,0,[],0,[]
wixaros,"Copenhagen, Denmark",Joined in Dec 2015,6,6,0,0,[],0,[]
LeaKralj,"Ljubljana, Slovenia",Joined in Dec 2007,34,24,49,0,[],1,['672gaspers']
Gadgetakias,"London, United Kingdom",Joined in Dec 2010,253,201,103,3,"['Ethereum-Tours', '16emma3', 'lorena-de-flores']",0,[]
860seas,"Noosa, Australia",Joined in Oct 2016,26,26,30,0,[],0,[]
darrellh913,"Sunderland, United Kingdom",Joined in Dec 2007,9,6,5,0,[],0,[]
freyagcom,"Ronda, Spain",Joined in Jul 2018,3,2,0,0,[],0,[]
910chasea,,Joined in Jan 2020,1,1,1,0,[],0,[]
168karolinea,"Copenhagen, Denmark",Joined in Oct 2019,12,6,1,0,[],0,[]
