storeName,storeAddress,avgRating,nrReviews,priceCategory,CousineType,Rank
KöD Copenhagen,"Admiralgade 25, Copenhagen 1066 Denmark",4.5,"1,143",$$ - $$$,"['Steakhouse', 'Barbecue', 'European']",#60
Kiin Kiin,"Guldbergsgade 21, Copenhagen 2200 Denmark",4.5,832,$$$$,"['Asian', 'Thai', 'Vegetarian Friendly']",#61
Mad & Kaffe,"Soender Boulevard 68 Koebenhavn V, Copenhagen 1720 Denmark",4.5,616,$$ - $$$,"['Cafe', 'European', 'Healthy']",#62
BENTO Restaurant & Cocktail Bar,"Helgolandsgade 16, Copenhagen 1653 Denmark",4.5,304,$$ - $$$,"['Japanese', 'Asian', 'Vegetarian Friendly']",#63
Restaurant Ravelinen,"Torvegade 79, Copenhagen 1400 Denmark",4.5,452,$$ - $$$,"['European', 'Scandinavian', 'Danish']",#64
Toto Vin & Spisebar,"Amagerbrogade 145, Copenhagen 2300 Denmark",5.0,106,$$ - $$$,"['European', 'Wine Bar', 'Vegetarian Friendly']",#66
Khun Juk Oriental,"Store Kongensgade 9 Backyard, Copenhagen Denmark",4.5,861,$$ - $$$,"['Asian', 'Thai', 'Vegetarian Friendly']",#65
L'Enoteca di Mr. Brunello Restaurant & Wine Shop,"Rysensteensgade 16, Copenhagen 1564 Denmark",4.5,236,$$$$,"['Italian', 'Mediterranean', 'European']",#67
Nebbiolo Winebar,"Store Strandstraede 18B, Copenhagen 1255 Denmark",4.5,153,$$ - $$$,"['Italian', 'European', 'Wine Bar']",#68
Norrlyst,"Kompagnistraede 8, Copenhagen 1208 Denmark",5.0,115,$$ - $$$,"['Contemporary', 'Healthy', 'Scandinavian']",#69
Den Lille Fede Restaurant,"Store Kongensgade 17, Copenhagen 1264 Denmark",4.5,757,$$$$,"['European', 'Central European', 'Scandinavian']",#70
Mikkeller & Friends,"Stefansgade 35, Copenhagen Denmark",4.5,258,$$ - $$$,['Pub'],#71
Halifax København K,"Larsbjoernsstraede 9, Copenhagen 1454 Denmark",4.5,277,$$ - $$$,"['American', 'Bar', 'Vegetarian Friendly']",#72
Ristorante Buono,"Abel Cathrines Gade 21, Copenhagen 1654 Denmark",4.5,216,$$ - $$$,"['Italian', 'Mediterranean', 'European']",#73
Stempel - Bar & Kitchen,"Enghave Plads 2, Copenhagen 1670 Denmark",4.5,315,$$ - $$$,"['Bar', 'Cafe', 'International']",#74
Cafe Gammel Torv,"Gammeltorv 20, Copenhagen 1457 Denmark",4.5,223,$$ - $$$,"['Scandinavian', 'Danish']",#75
Pony,"Vesterbrogade 135, Copenhagen 1620 Denmark",4.5,286,$$$$,"['European', 'Scandinavian', 'Danish']",#76
simpleRAW,"Graabroedretorv 9, Copenhagen 1154 Denmark",4.5,256,$$ - $$$,"['European', 'Healthy', 'Vegetarian Friendly']",#77
Mikkeller Bar,"Viktoriagade 8 BC 1655, Copenhagen 1655 Denmark",4.5,891,$$ - $$$,"['Brew Pub', 'Pub', 'Danish']",#78
Sticks'n'Sushi,"Nansensgade 59, Copenhagen 1366 Denmark",4.5,449,$$ - $$$,"['Japanese', 'Seafood', 'Sushi']",#79
Aamanns Etablissement,"Oster Farimagsgade 12, Copenhagen 2100 Denmark",4.5,197,$$ - $$$,"['Scandinavian', 'Danish', 'Vegetarian Friendly']",#80
Aamanns 1921,"Niels Hemmingsens Gade 19-21, Copenhagen 1153 Denmark",4.5,286,$$ - $$$,"['Scandinavian', 'Danish', 'Vegetarian Friendly']",#81
Restaurant Palaegade,"Palaegade 8, Copenhagen 1261 Denmark",4.5,361,$$ - $$$,"['European', 'Scandinavian', 'Danish']",#82
AOC,"Dronningens Tvaergade 2, Copenhagen 1302 Denmark",4.5,341,$$$$,"['European', 'Scandinavian', 'Danish']",#83
Restaurant 1733,"Nybrogade 14, Copenhagen 1203 Denmark",5.0,108,$$ - $$$,"['European', 'Scandinavian', 'Danish']",#85
Told&Snaps,"Toldbodgade 2, Copenhagen Denmark",4.5,587,$$ - $$$,"['European', 'Scandinavian', 'Danish']",#84
Restaurant Koefoed,"Landgreven 3, Copenhagen 1301 Denmark",4.5,699,$$$$,"['European', 'Scandinavian', 'Danish']",#86
H table,"Gyldenloevesgade 10, Copenhagen 1369 Denmark",5.0,72,$$ - $$$,"['Chinese', 'Asian', 'Vegetarian Friendly']",#87
Le Pave,"Graabroedretorv 14, Copenhagen 1154 Denmark",4.5,291,$$ - $$$,"['French', 'European', 'Vegetarian Friendly']",#88
Amass,"Refshalevej 153, Copenhagen 1432 Denmark",4.5,634,$$$$,"['Contemporary', 'Scandinavian', 'Danish']",#89
El Meson,"Hauser Plads 12, Copenhagen 1127 Denmark",4.5,302,$$ - $$$,"['Mediterranean', 'European', 'Spanish']",#90
Flottenheimer,"Skindergade 20, Copenhagen 1159 Denmark",4.5,405,$$ - $$$,"['Cafe', 'European', 'Scandinavian']",#91
Groed,"Jaegersborggade 50, Tv., Copenhagen 2200 Denmark",4.5,253,$,"['Cafe', 'European', 'Scandinavian']",#92
Asador,"Overg. Neden Vandet 17, Copenhagen 1414 Denmark",4.5,477,$$ - $$$,"['Steakhouse', 'Latin', 'Barbecue']",#93
Formel B,"Vesterbrogade 182, Copenhagen 1800 Denmark",4.5,632,$$$$,"['European', 'Scandinavian', 'Danish']",#94
Sticks'n'Sushi,"Istedgade 62, Copenhagen 1650 Denmark",4.5,328,$$ - $$$,"['Japanese', 'Sushi', 'Asian']",#95
Fleisch,"Slagterboderne 7 Kødbyen, Copenhagen 1716 Denmark",4.5,467,$$ - $$$,"['Scandinavian', 'Danish', 'Gluten Free Options']",#96
Aamanns Deli & Take Away,"Oester Farimagsgade 10, Copenhagen 2100 Denmark",4.5,630,$$ - $$$,"['Scandinavian', 'Danish', 'Vegetarian Friendly']",#97
